Date,Days,STIR,LSR,SSR,d1,d2,d3,d4,d5
11/12/1998,Friday,-0.020069769,-0.021199813,-0.009575945,0,0,0,0,1
14/12/1998,Monday,-0.022768894,-0.02014093,-0.011321172,1,0,0,0,0
15/12/1998,Tuesday,-0.00815933,-0.003180019,-0.020426791,0,1,0,0,0
16/12/1998,Wednesday,-0.006739069,-0.001867031,-0.014405158,0,0,1,0,0
17/12/1998,Thursday,0.005203128,4.12E-05,-0.033075548,0,0,0,1,0
18/12/1998,Friday,0.0286945,0.02224775,0.007837124,0,0,0,0,1
21/12/1998,Monday,-0.005870851,0.001210335,-0.010082545,1,0,0,0,0
22/12/1998,Tuesday,0.010440893,0.005529983,-0.006530802,0,1,0,0,0
23/12/1998,Wednesday,-0.019929653,-0.023376945,-0.025749084,0,0,1,0,0
24/12/1998,Thursday,0.005919478,0.006407382,0.026504687,0,0,0,1,0
25/12/1998,Friday,0,0,0,0,0,0,0,1
28/12/1998,Monday,-0.008276844,-0.010269006,-0.00902664,1,0,0,0,0
29/12/1998,Tuesday,-0.002043686,0.001880582,-0.003037769,0,1,0,0,0
30/12/1998,Wednesday,0.011719659,0.006324225,0.02579506,0,0,1,0,0
31/12/1998,Thursday,-0.001413489,0.001508531,-0.006220749,0,0,0,1,0
1/1/1999,Friday,0,0,0,0,0,0,0,1
4/1/1999,Monday,0.005284955,-0.010434334,0.027848601,1,0,0,0,0
5/1/1999,Tuesday,-0.009955759,-0.010749757,0.015439414,0,1,0,0,0
6/1/1999,Wednesday,0.055239718,0.063600948,0.046622949,0,0,1,0,0
7/1/1999,Thursday,0.03547986,0.055166291,0.000876629,0,0,0,1,0
8/1/1999,Friday,0.017825784,0.037857896,0.028780483,0,0,0,0,1
11/1/1999,Monday,-0.001359989,-0.008548116,0.014835553,1,0,0,0,0
12/1/1999,Tuesday,-0.003960967,-0.008125877,0.059275922,0,1,0,0,0
13/1/1999,Wednesday,-0.020322483,-0.022461881,-0.009584987,0,0,1,0,0
14/1/1999,Thursday,-0.01989705,-0.01744043,0.021005454,0,0,0,1,0
15/1/1999,Friday,0.015738515,0.007120174,0.017160317,0,0,0,0,1
18/1/1999,Monday,0.031043777,0.026091879,0.001318916,1,0,0,0,0
19/1/1999,Tuesday,0,0,0,0,1,0,0,0
20/1/1999,Wednesday,0.000755968,-0.004116887,0.006200433,0,0,1,0,0
21/1/1999,Thursday,-0.02897006,-0.022516073,-0.039732375,0,0,0,1,0
22/1/1999,Friday,-0.016970982,-0.01454767,0.015056878,0,0,0,0,1
25/1/1999,Monday,-0.056140186,-0.050766136,-0.092131833,1,0,0,0,0
26/1/1999,Tuesday,0.013583806,0.010667686,0.026271023,0,1,0,0,0
27/1/1999,Wednesday,0.028040716,0.021271035,0.010984654,0,0,1,0,0
28/1/1999,Thursday,-0.021794125,-0.023341528,-0.006493652,0,0,0,1,0
29/1/1999,Friday,0.001485551,0.000492499,-0.004706099,0,0,0,0,1
1/2/1999,Monday,-0.01500552,-0.01639428,-0.021526133,1,0,0,0,0
